rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
107,二人,ふたり,futari,Noun,two people; pair; couple,jlpt_n5,"となっている。参加希望者が私たち

I found a tour that meets our preferences perfectly, but the minimum number of participants is five. If we two are the only people who want to join the tour, it will be cancelled.","をプレゼントすることにした。

As it will be my parents’ wedding anniversary tomorrow, I have decided to give them meal vouchers to a fancy restaurant so that they can relax and enjoy a meal together for a change.","家留守数時間間入られた

Within just a few hours of my being away from my home, a burglar broke into my house."
108,二つ,ふたつ,futatsu,"Noun, Numeric",two; 2,jlpt_n5,"先生は私たちを二つのグループに分けた

Our teacher separated us into two groups.","いる。

Public opinion on immigration policy is sharply divided into two major positions.","赤道は地球を二つの半球に分ける

The equator divides the globe into two hemispheres."
109,太い,ふとい,futoi,"Adjective, い-adjective",fat; thick,jlpt_n5,"料理のことだ。

My father has been eating less and less since he got sick and I am worried about him.","が書きやすい。

Some ballpoint pens have a fine nib of 0.3 mm while others have a thicker nib of 1 mm. When it comes to writing in a small space, a thinner nib is better.","石油が太いパイプの中を流れた

The oil ran through a thick pipe."
110,二日,ふつか,futsuka,Noun,the second day of the month / 2 days,jlpt_n5,"正月風物詩感箱根駅伝駅伝対抗戦1月2日3日二日間行われる

The Hakone Ekiden, which has now become a New Year’s tradition, is a two-day relay marathon race between universities in the Kantō region, held on January 2 to 3.","された。その

The bus I was riding was rear-ended by a car following it. At the time I thought it was nothing serious, but two days later I developed whiplash injury symptoms and suffered neck pain for a while.","初めてのアレの日は確かに病気かと二日間ほど誰にも言わず思い悩んだ記憶があります

The first 'that time of the month' I seem to remember worrying that I was ill, without telling anybody, for two days."
111,封筒,ふうとう,fuutou,Noun,envelope,jlpt_n5,"縦長封筒切手左上貼る

For vertical envelopes, place the stamp in the upper left corner.","した。

I sealed the thick envelop with glue, but I was not sure if it would stick, so I put Scotch-tape on top to reinforce it.","切手貼れば物差し縦横測った

To find out the stamp value needed to post the envelope, I measured its length and width with a ruler."
112,冬,ふゆ,fuyu,Noun,winter,jlpt_n5,"送られて来る。

Every winter, a friend in Aomori sends a box of bright red apples with news of the season.","を家族で食べることが多い。

During the cold winter, I often eat warm hot-pot meals with my family.","が深刻だ。

Faced with the continuously warm winter, ski resorts have been experiencing a serious downturn in business. The shift away from skiing among young people does not help with the trouble either."
113,外国,がいこく,gaikoku,Noun,foreign country,jlpt_n5,"の拘束時間が長いと感じる外国人労働者は多い。

Many foreigners who work in Japan feel that their actual working day is longer than that in their home country.","である。つまり、小麦の消費の

Japan's self-sufficiency rate for wheat is about 15%. This means that the majority of wheat consumed is dependent on imports from other countries.","に、日本で何をしたいかアンケートをとった。

We surveyed foreign visitors about what they would like to do on their trip to Japan."
114,外国人,がいこくじん,gaikokujin,Noun,foreigner; foreign citizen; foreign national; alien; non-Japanese,jlpt_n5,"の拘束時間が長いと感じる外国人労働者は多い。

Many foreigners who work in Japan feel that their actual working day is longer than that in their home country.","に、日本で何をしたいかアンケートをとった。

We surveyed foreign visitors about what they would like to do on their trip to Japan.","、外国人と市民の国際交流イベントを企画したりしている。

An international exchange center established by a citizens’ group has been set up on the second floor of city hall to provide daily life consultation for foreigners and to plan international exchange events between foreigners and citizens."
115,学校,がっこう,gakkou,Noun,school,jlpt_n5,"父は小学校の教員をしている。

My father is an elementary school teacher.","、住んでいる地域などで定期的に防災訓練を実施している。

In Japan, disaster drills are regularly held at schools, workplaces, and in the communities where people live to prepare for earthquakes and other disasters.","正門前怖い先輩先輩裏門入った

There was a scary senior student in front of the main gate of the school, so I sneaked in through the back gate to avoid being seen."
116,学生,がくせい,gakusei,Noun,student,jlpt_n5,"のサークルに所属し、趣味の活動を楽しんだ。

As a college student, I joined two clubs, a tennis club and a music club, where I enjoyed my hobbies.","を採点して、学生に返却した。

Written exam answers were graded and returned to students.","ような顔をしている。

On the morning of the last day of the examinations, the students, who had been studying all night, were exhausted and looked shattered."
117,玄関,げんかん,genkan,Noun,entrance,jlpt_n5,"開け全て全開年末大掃除行った

I opened the front door, fully opened all the windows, and did the year-end general housecleaning.","は、言わば日本の玄関であると言ってもいいだろう。

Narita International Airport is, in a sense, the gateway to Japan.","きた。

As you go through the theater’s entrance, you will see an imposing marble staircase with a red carpet in front of it and people dressed in gorgeous clothing."
118,元気,げんき,genki,"Noun, Adjective, な-adjective",lively; full of spirit; energetic; healthy,jlpt_n5,"は最近元気がない。「勉強が忙しいんだ」と言っているが、

My friend, who belongs to the same laboratory as I, has been in low spirits lately. He says, “I’m busy with my studies,” but I suspect that the real reason is different, as he has stopped talking about his girlfriend.","新入社員山田君面頼りない

Mr. Yamada, a new employee, is young and energetic, but still a bit unreliable in terms of work.","元気そうだった。

I saw an old friend at a high school reunion for the first time in a long time, and she looked as lively as ever."
119,月曜日,げつようび,getsuyoubi,Noun,Monday,jlpt_n5,"の提出は認めない」と先生に言われた。

The teacher told me, “The deadline for submitting assignments is next Monday, and no submissions will be accepted after the deadline.”","、その翌日を休館とするところが多い。

Many libraries in Japan are closed on Mondays, but if a Monday falls on a national holiday, many may open on that day and be closed on the following day.","」という。

The phenomenon of feeling depressed about coming to work on Monday after the weekend is commonly known as “Blue Monday Syndrome.”"
120,銀行,ぎんこう,ginkou,Noun,bank,jlpt_n5,"がいみじくも指摘していたように、その銀行が導入したオンラインの新システムには重大な欠陥があった。

As some pundits had aptly pointed out, the new online system introduced by that bank had serious flaws.","している。公共放送のニュース番組では番組の

Fraud in which people impersonate bank employees or police officers to swindle people out of their cash cards is rampant. Public broadcasting news programs have established a section in one of their programs where the newscaster, citing specific examples of fraudulent tactics, repeatedly warns people not to hand over their cards or PINs to strangers under any circumstances in order to avoid being scammed.","を防ぐことがある。

Because banks are considered as institutions of high public utility, the government may inject public funds to prevent them from failing."
